env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
50,0,0.0,0.0,0.0,50,,0.999835,,,,,
100,1,0.0,0.0,0.0,50,,0.99967,,,,,
150,2,0.0,0.0,0.0,50,,0.999505,,,,,
200,3,0.0,0.0,0.0,50,,0.99934,,,,,
250,4,0.0,0.0,0.0,50,,0.999175,,,,,
300,5,0.0,0.0,0.0,50,,0.99901,,,,,
350,6,0.0,0.0,0.0,50,,0.998845,,,,,
400,7,0.0,0.0,0.0,50,,0.99868,,,,,
450,8,0.0,0.0,0.0,50,,0.998515,,,,,
500,9,0.0,0.0,0.0,50,,0.99835,,,,,
550,10,0.0,0.0,0.0,50,,0.998185,,,,,
600,11,0.0,0.0,0.0,50,,0.99802,,,,,
650,12,0.0,0.0,0.0,50,,0.997855,,,,,
700,13,0.0,0.0,0.0,50,,0.99769,,,,,
750,14,0.0,0.0,0.0,50,,0.997525,,,,,
800,15,0.0,0.0,0.0,50,,0.99736,,,,,
850,16,0.0,0.0,0.0,50,,0.997195,,,,,
900,17,0.0,0.0,0.0,50,,0.99703,,,,,
950,18,0.0,0.0,0.0,50,,0.996865,,,,,
1000,19,0.0,0.0,0.0,50,0.24861544370651245,0.9967,,,,,
1050,20,0.0,0.0,0.0,50,,0.996535,,,,,
1100,21,0.0,0.0,0.0,50,0.07040800154209137,0.99637,,,,,
1150,22,0.0,0.0,0.0,50,,0.996205,,,,,
1200,23,0.0,0.0,0.0,50,0.09327988512814045,0.99604,,,,,
1250,24,0.0,0.0,0.0,50,,0.995875,,,,,
1300,25,0.0,0.0,0.0,50,0.07303132303059101,0.99571,,,,,
1350,26,0.0,0.0,0.0,50,,0.995545,,,,,
1400,27,0.0,0.0,0.0,50,0.061265233904123306,0.99538,,,,,
1450,28,0.0,0.0,0.0,50,,0.995215,,,,,
1500,29,0.0,0.0,0.0,50,0.061585813760757446,0.99505,,,,,
1550,30,0.0,0.0,0.0,50,,0.994885,,,,,
1600,31,0.0,0.0,0.0,50,0.058719104155898094,0.99472,,,,,
1650,32,0.0,0.0,0.0,50,,0.994555,,,,,
1700,33,0.0,0.0,0.0,50,0.048377176746726036,0.99439,,,,,
1750,34,0.0,0.0,0.0,50,,0.994225,,,,,
1800,35,1.0,1.0,2.0,50,0.08654477819800377,0.99406,,,,,
1850,36,0.0,0.0,0.0,50,,0.993895,,,,,
1900,37,0.0,0.0,0.0,50,0.059897737577557564,0.99373,,,,,
1950,38,0.0,0.0,0.0,50,,0.993565,,,,,
2000,39,0.0,0.0,0.0,50,0.0638389065861702,0.9934,,,,,
2050,40,0.0,0.0,0.0,50,,0.993235,,,,,
2100,41,0.0,0.0,0.0,50,0.07370930351316929,0.99307,,,,,
2150,42,0.0,0.0,0.0,50,,0.992905,,,,,
2200,43,0.5,1.0,1.5,50,0.110172338783741,0.99274,,,,,
2250,44,0.0,0.0,0.0,50,,0.992575,,,,,
2300,45,0.0,0.0,0.0,50,0.0660280454903841,0.99241,,,,,
2350,46,0.5,1.0,1.5,50,,0.992245,,,,,
2400,47,0.0,0.0,0.0,50,0.07603449746966362,0.99208,,,,,
2450,48,0.0,0.0,0.0,50,,0.991915,,,,,
2500,49,0.0,0.0,0.0,50,0.0730441715568304,0.99175,,,,,
2550,50,0.0,0.0,0.0,50,,0.991585,,,,,
2600,51,0.0,0.0,0.0,50,0.08271351829171181,0.99142,,,,,
2650,52,0.0,0.0,0.0,50,,0.991255,,,,,
2700,53,2.0,1.5,3.5,50,0.06830374523997307,0.99109,,,,,
2750,54,0.0,0.0,0.0,50,,0.9909250000000001,,,,,
2800,55,0.0,0.0,0.0,50,0.06640751659870148,0.99076,,,,,
2850,56,0.0,0.0,0.0,50,,0.990595,,,,,
2900,57,0.0,0.0,0.0,50,0.07280516996979713,0.99043,,,,,
2950,58,0.0,0.0,0.0,50,,0.990265,,,,,
3000,59,0.0,0.0,0.0,50,0.1040223017334938,0.9901,,,,,
3050,60,0.0,0.0,0.0,50,,0.989935,,,,,
3100,61,0.0,0.0,0.0,50,0.07040464505553246,0.98977,,,,,
3150,62,0.0,0.0,0.0,50,,0.989605,,,,,
3200,63,0.0,0.0,0.0,50,0.0664527490735054,0.98944,,,,,
3250,64,0.0,0.0,0.0,50,,0.989275,,,,,
3300,65,0.0,0.0,0.0,50,0.0639236718416214,0.98911,,,,,
3350,66,0.0,0.0,0.0,50,,0.988945,,,,,
3400,67,0.0,0.0,0.0,50,0.08605452626943588,0.98878,,,,,
3450,68,0.0,0.0,0.0,50,,0.988615,,,,,
3500,69,0.0,0.0,0.0,50,0.09230075031518936,0.98845,,,,,
3550,70,0.0,0.0,0.0,50,,0.988285,,,,,
3600,71,0.0,0.0,0.0,50,0.08014722168445587,0.98812,,,,,
3650,72,0.0,0.0,0.0,50,,0.987955,,,,,
3700,73,0.0,0.0,0.0,50,0.06872210465371609,0.98779,,,,,
3750,74,0.0,0.0,0.0,50,,0.987625,,,,,
3800,75,0.0,0.0,0.0,50,0.08529514446854591,0.98746,,,,,
3850,76,0.0,0.0,0.0,50,,0.987295,,,,,
