env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
50,0,0.0,0.0,0.0,50,,0.999835,,,,,
100,1,0.0,0.0,0.0,50,,0.99967,,,,,
150,2,0.0,0.0,0.0,50,,0.999505,,,,,
200,3,0.0,0.0,0.0,50,,0.99934,,,,,
250,4,0.0,0.0,0.0,50,,0.999175,,,,,
300,5,0.0,0.0,0.0,50,,0.99901,,,,,
350,6,0.0,0.0,0.0,50,,0.998845,,,,,
400,7,0.0,0.0,0.0,50,,0.99868,,,,,
450,8,0.0,0.0,0.0,50,,0.998515,,,,,
500,9,0.0,0.0,0.0,50,,0.99835,,,,,
550,10,0.0,0.0,0.0,50,,0.998185,,,,,
600,11,0.0,0.0,0.0,50,,0.99802,,,,,
650,12,0.0,0.0,0.0,50,,0.997855,,,,,
700,13,0.0,0.0,0.0,50,,0.99769,,,,,
750,14,0.0,0.0,0.0,50,,0.997525,,,,,
800,15,0.0,0.0,0.0,50,,0.99736,,,,,
850,16,1.0,1.0,2.0,50,,0.997195,,,,,
900,17,0.0,0.0,0.0,50,,0.99703,,,,,
950,18,1.0,0.5,1.5,50,,0.996865,,,,,
1000,19,0.0,0.0,0.0,50,0.36604705452919006,0.9967,,,,,
1050,20,0.0,0.0,0.0,50,,0.996535,,,,,
1100,21,0.0,0.0,0.0,50,0.07207931578159332,0.99637,,,,,
1150,22,0.0,0.0,0.0,50,,0.996205,,,,,
1200,23,0.0,0.0,0.0,50,0.18250908702611923,0.99604,,,,,
1250,24,0.0,0.0,0.0,50,,0.995875,,,,,
1300,25,0.0,0.0,0.0,50,0.1659543737769127,0.99571,,,,,
1350,26,1.0,1.0,2.0,50,,0.995545,,,,,
1400,27,1.0,1.0,2.0,50,0.16085529327392578,0.99538,,,,,
1450,28,0.0,0.0,0.0,50,,0.995215,,,,,
1500,29,0.0,0.0,0.0,50,0.11523706465959549,0.99505,,,,,
1550,30,0.0,0.0,0.0,50,,0.994885,,,,,
1600,31,0.0,0.0,0.0,50,0.08763100206851959,0.99472,,,,,
1650,32,0.0,0.0,0.0,50,,0.994555,,,,,
1700,33,0.0,0.0,0.0,50,0.16593878716230392,0.99439,,,,,
1750,34,0.0,0.0,0.0,50,,0.994225,,,,,
1800,35,0.0,0.0,0.0,50,0.10262887179851532,0.99406,,,,,
1850,36,0.0,0.0,0.0,50,,0.993895,,,,,
1900,37,0.0,0.0,0.0,50,0.10298684239387512,0.99373,,,,,
1950,38,0.0,0.0,0.0,50,,0.993565,,,,,
2000,39,0.0,0.0,0.0,50,0.09658920764923096,0.9934,,,,,
2050,40,0.0,0.0,0.0,50,,0.993235,,,,,
2100,41,0.0,0.0,0.0,50,0.07247708737850189,0.99307,,,,,
2150,42,0.0,0.0,0.0,50,,0.992905,,,,,
2200,43,0.0,0.0,0.0,50,0.12278245389461517,0.99274,,,,,
2250,44,0.0,0.0,0.0,50,,0.992575,,,,,
2300,45,0.0,0.0,0.0,50,0.11985836178064346,0.99241,,,,,
2350,46,0.0,0.0,0.0,50,,0.992245,,,,,
2400,47,0.0,0.0,0.0,50,0.19724354892969131,0.99208,,,,,
2450,48,0.0,0.0,0.0,50,,0.991915,,,,,
2500,49,0.0,0.0,0.0,50,0.06877957284450531,0.99175,,,,,
2550,50,0.0,0.0,0.0,50,,0.991585,,,,,
2600,51,0.0,0.0,0.0,50,0.1630413793027401,0.99142,,,,,
2650,52,0.0,0.0,0.0,50,,0.991255,,,,,
2700,53,0.0,0.0,0.0,50,0.09258965589106083,0.99109,,,,,
2750,54,0.0,0.0,0.0,50,,0.9909250000000001,,,,,
2800,55,1.0,1.0,2.0,50,0.15169146284461021,0.99076,,,,,
2850,56,0.0,0.0,0.0,50,,0.990595,,,,,
2900,57,0.0,0.0,0.0,50,0.12770908325910568,0.99043,,,,,
2950,58,0.0,0.0,0.0,50,,0.990265,,,,,
3000,59,0.0,0.0,0.0,50,0.20521992444992065,0.9901,,,,,
3050,60,0.0,0.0,0.0,50,,0.989935,,,,,
3100,61,0.0,0.0,0.0,50,0.1539725661277771,0.98977,,,,,
3150,62,1.0,1.0,2.0,50,,0.989605,,,,,
3200,63,0.0,0.0,0.0,50,0.12981295585632324,0.98944,,,,,
3250,64,0.0,0.0,0.0,50,,0.989275,,,,,
3300,65,0.0,0.0,0.0,50,0.1369780283421278,0.98911,,,,,
3350,66,0.0,0.0,0.0,50,,0.988945,,,,,
3400,67,0.0,0.0,0.0,50,0.1761745885014534,0.98878,,,,,
3450,68,0.0,0.0,0.0,50,,0.988615,,,,,
3500,69,0.0,0.0,0.0,50,0.20125417411327362,0.98845,,,,,
3550,70,0.0,0.0,0.0,50,,0.988285,,,,,
3600,71,0.0,0.0,0.0,50,0.24745933711528778,0.98812,,,,,
3650,72,0.0,0.0,0.0,50,,0.987955,,,,,
3700,73,0.0,0.0,0.0,50,0.14096274226903915,0.98779,,,,,
3750,74,0.0,0.0,0.0,50,,0.987625,,,,,
3800,75,0.0,0.0,0.0,50,0.12368251383304596,0.98746,,,,,
3850,76,0.0,0.0,0.0,50,,0.987295,,,,,
